N,Factor,Is Correct,Is Larger Factor,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000101,333367,1,1,23,23,11,47,0,0,0.002832413,1
1000101,333367,1,1,23,23,11,47,0,0,0.00195694,1
1000101,333367,1,1,23,23,11,47,0,0,0.00305748,1
1000101,333367,1,1,23,23,11,47,0,0,0.001998901,1
1000101,333367,1,1,23,23,11,47,0,0,0.002811432,1
1000101,333367,1,1,23,23,11,47,0,0,0.002998352,1
1000101,333367,1,1,23,23,11,47,0,0,0.002422333,1
1000101,333367,1,1,23,23,11,47,0,0,0.003137589,1
1000101,333367,1,1,23,23,11,47,0,0,0.001995087,1
1000101,333367,1,1,23,23,11,47,0,0,0.005731583,1
1000102,500051,1,1,23,23,11,47,0,0,0.000947952,1
1000102,500051,1,1,23,23,11,47,0,0,0.001031876,1
1000102,500051,1,1,23,23,11,47,0,0,0,1
1000102,500051,1,1,23,23,11,47,0,0,0,1
1000102,500051,1,1,23,23,11,47,0,0,0,1
1000102,500051,1,1,23,23,11,47,0,0,0,1
1000102,500051,1,1,23,23,11,47,0,0,0,1
1000102,500051,1,1,23,23,11,47,0,0,0.011686325,1
1000102,500051,1,1,23,23,11,47,0,0,0.000961304,1
1000102,500051,1,1,23,23,11,47,0,0,0.001033783,1
1000103,52637,1,1,23,23,11,47,9,23,0.023151398,1
1000103,52637,1,1,23,23,11,47,9,23,0.019853592,1
1000103,52637,1,1,23,23,11,47,9,23,0.017356873,1
1000103,52637,1,1,23,23,11,47,9,23,0.019105911,1
1000103,52637,1,1,23,23,11,47,9,23,0.016935349,1
1000103,52637,1,1,23,23,11,47,9,23,0.016954422,1
1000103,52637,1,1,23,23,11,47,9,23,0.015556335,1
1000103,52637,1,1,23,23,11,47,9,23,0.016908646,1
1000103,52637,1,1,23,23,11,47,9,23,0.02129364,1
1000103,52637,1,1,23,23,11,47,9,23,0.019388199,1
1000104,500052,1,1,23,23,11,47,0,0,0,1
1000104,500052,1,1,23,23,11,47,0,0,0,1
1000104,500052,1,1,23,23,11,47,0,0,0,1
1000104,500052,1,1,23,23,11,47,0,0,0,1
