,N,Factor,Is Correct,Is Larger Factor,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
0,1000000,2,1,1,41,41,20,83,0,0,0.001327515,1
1,1000000,2,1,1,41,41,20,83,0,0,0,1
2,1000000,2,1,1,41,41,20,83,0,0,0.000999451,1
3,1000000,2,1,1,41,41,20,83,0,0,0.002140045,1
4,1000000,2,1,1,41,41,20,83,0,0,0.000963211,1
5,1000000,2,1,1,41,41,20,83,0,0,0.002155304,1
6,1000000,2,1,1,41,41,20,83,0,0,0.002595901,1
7,1000000,2,1,1,41,41,20,83,0,0,0.002000809,1
8,1000000,2,1,1,41,41,20,83,0,0,0.002094269,1
9,1000000,2,1,1,41,41,20,83,0,0,0.00104332,1
10,1000001,9901,1,1,41,41,20,83,105,350,0.039655685,1
11,1000001,9901,1,1,41,41,20,83,105,350,0.018348694,1
12,1000001,9901,1,1,41,41,20,83,105,350,0.028358459,1
13,1000001,9901,1,1,41,41,20,83,105,350,0.034589767,1
14,1000001,9901,1,1,41,41,20,83,105,350,0.016527176,1
15,1000001,9901,1,1,41,41,20,83,105,350,0.033533096,1
16,1000001,9901,1,1,41,41,20,83,105,350,0.032407761,1
17,1000001,9901,1,1,41,41,20,83,105,350,0.017518997,1
18,1000001,9901,1,1,41,41,20,83,105,350,0.037508011,1
19,1000001,9901,1,1,41,41,20,83,105,350,0.017154694,1
20,1000002,2,1,1,41,41,20,83,0,0,0.001232147,1
21,1000002,2,1,1,41,41,20,83,0,0,0.002000809,1
22,1000002,2,1,1,41,41,20,83,0,0,0.00135231,1
23,1000002,2,1,1,41,41,20,83,0,0,0.002290726,1
24,1000002,2,1,1,41,41,20,83,0,0,0.001031876,1
25,1000002,2,1,1,41,41,20,83,0,0,0.001966476,1
26,1000002,2,1,1,41,41,20,83,0,0,0.001802444,1
27,1000002,2,1,1,41,41,20,83,0,0,0.001348495,1
28,1000002,2,1,1,41,41,20,83,0,0,0.002000809,1
29,1000002,2,1,1,41,41,20,83,0,0,0.001544952,1
30,1000003,12049,0,0,41,41,20,83,975,3013,0.058071136,1
31,1000003,12049,0,0,41,41,20,83,975,3013,0.069278717,1
32,1000003,12049,0,0,41,41,20,83,975,3013,0.047433853,1
33,1000003,12049,0,0,41,41,20,83,975,3013,0.071544647,1
34,1000003,12049,0,0,41,41,20,83,975,3013,0.059152603,1
35,1000003,12049,0,0,41,41,20,83,975,3013,0.065570831,1
36,1000003,12049,0,0,41,41,20,83,975,3013,0.069688797,1
37,1000003,12049,0,0,41,41,20,83,975,3013,0.069044113,1
38,1000003,12049,0,0,41,41,20,83,975,3013,0.058046341,1
39,1000003,12049,0,0,41,41,20,83,975,3013,0.049966812,1
40,1000004,2,1,1,41,41,20,83,0,0,0.001216888,1
41,1000004,2,1,1,41,41,20,83,0,0,0.00103569,1
42,1000004,2,1,1,41,41,20,83,0,0,0,1
43,1000004,2,1,1,41,41,20,83,0,0,0,1
44,1000004,2,1,1,41,41,20,83,0,0,0,1
45,1000004,2,1,1,41,41,20,83,0,0,0,1
46,1000004,2,1,1,41,41,20,83,0,0,0,1
47,1000004,2,1,1,41,41,20,83,0,0,0,1
48,1000004,2,1,1,41,41,20,83,0,0,0,1
49,1000004,2,1,1,41,41,20,83,0,0,0.010532379,1
50,1000005,3,1,1,41,41,20,83,0,0,0.001998901,1
51,1000005,3,1,1,41,41,20,83,0,0,0.001033783,1
52,1000005,3,1,1,41,41,20,83,0,0,0,1
53,1000005,3,1,1,41,41,20,83,0,0,0,1
54,1000005,3,1,1,41,41,20,83,0,0,0,1
55,1000005,3,1,1,41,41,20,83,0,0,0.007972717,1
56,1000005,3,1,1,41,41,20,83,0,0,0.002120972,1
57,1000005,3,1,1,41,41,20,83,0,0,0.005363464,1
58,1000005,3,1,1,41,41,20,83,0,0,0.004119873,1
59,1000005,3,1,1,41,41,20,83,0,0,0,1
60,1000006,2,1,1,41,41,20,83,0,0,0.003396988,1
61,1000006,2,1,1,41,41,20,83,0,0,0.002038956,1
62,1000006,2,1,1,41,41,20,83,0,0,0.003641129,1
63,1000006,2,1,1,41,41,20,83,0,0,0.00378418,1
64,1000006,2,1,1,41,41,20,83,0,0,0.003087997,1
65,1000006,2,1,1,41,41,20,83,0,0,0.00280571,1
66,1000006,2,1,1,41,41,20,83,0,0,0.001029968,1
67,1000006,2,1,1,41,41,20,83,0,0,0.005624771,1
