N,Factor,Is Correct,Is Larger Factor,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000201,111133,0,0,41,41,20,83,925,3206,0.060974121,1
1000201,111133,0,0,41,41,20,83,925,3206,0.074737549,1
1000201,111133,0,0,41,41,20,83,925,3206,0.060651779,1
1000201,111133,0,0,41,41,20,83,925,3206,0.061328888,1
1000201,111133,0,0,41,41,20,83,925,3206,0.069860458,1
1000201,111133,0,0,41,41,20,83,925,3206,0.061267853,1
1000201,111133,0,0,41,41,20,83,925,3206,0.060556412,1
1000201,111133,0,0,41,41,20,83,925,3206,0.066591263,1
1000201,111133,0,0,41,41,20,83,925,3206,0.067150116,1
1000201,111133,0,0,41,41,20,83,925,3206,0.081697464,1
1000202,2,1,1,41,41,20,83,0,0,0.001037598,1
1000202,2,1,1,41,41,20,83,0,0,0.001041412,1
1000202,2,1,1,41,41,20,83,0,0,0.0007267,1
1000202,2,1,1,41,41,20,83,0,0,0.002040863,1
1000202,2,1,1,41,41,20,83,0,0,0.002573013,1
1000202,2,1,1,41,41,20,83,0,0,0.001850128,1
1000202,2,1,1,41,41,20,83,0,0,0.001735687,1
1000202,2,1,1,41,41,20,83,0,0,0.001033783,1
1000202,2,1,1,41,41,20,83,0,0,0.002004623,1
1000202,2,1,1,41,41,20,83,0,0,0,1
1000203,3,1,1,41,41,20,83,0,0,0,1
1000203,3,1,1,41,41,20,83,0,0,0,1
1000203,3,1,1,41,41,20,83,0,0,0,1
1000203,3,1,1,41,41,20,83,0,0,0.008291245,1
1000203,3,1,1,41,41,20,83,0,0,0.002037048,1
1000203,3,1,1,41,41,20,83,0,0,0.001283646,1
1000203,3,1,1,41,41,20,83,0,0,0.00182724,1
1000203,3,1,1,41,41,20,83,0,0,0.00103569,1
1000203,3,1,1,41,41,20,83,0,0,0,1
1000203,3,1,1,41,41,20,83,0,0,0,1
1000204,2,1,1,41,41,20,83,0,0,0.006256104,1
1000204,2,1,1,41,41,20,83,0,0,0.001384735,1
1000204,2,1,1,41,41,20,83,0,0,0.001285553,1
1000204,2,1,1,41,41,20,83,0,0,0.001001358,1
1000204,2,1,1,41,41,20,83,0,0,0.001594543,1
1000204,2,1,1,41,41,20,83,0,0,0.001039505,1
1000204,2,1,1,41,41,20,83,0,0,0,1
1000204,2,1,1,41,41,20,83,0,0,0,1
1000204,2,1,1,41,41,20,83,0,0,0,1
1000204,2,1,1,41,41,20,83,0,0,0,1
1000205,5,1,1,41,41,20,83,1,10,0.002954483,1
1000205,5,1,1,41,41,20,83,1,10,0.002996445,1
1000205,5,1,1,41,41,20,83,1,10,0.001998901,1
1000205,5,1,1,41,41,20,83,1,10,0,1
1000205,5,1,1,41,41,20,83,1,10,0.006658554,1
1000205,5,1,1,41,41,20,83,1,10,0,1
1000205,5,1,1,41,41,20,83,1,10,0.008045197,1
1000205,5,1,1,41,41,20,83,1,10,0.0069561,1
1000205,5,1,1,41,41,20,83,1,10,0.009670258,1
1000205,5,1,1,41,41,20,83,1,10,0.004686356,1
1000206,2,1,1,41,41,20,83,0,0,0.002399445,1
1000206,2,1,1,41,41,20,83,0,0,0.002031326,1
1000206,2,1,1,41,41,20,83,0,0,0,1
1000206,2,1,1,41,41,20,83,0,0,0,1
1000206,2,1,1,41,41,20,83,0,0,0,1
1000206,2,1,1,41,41,20,83,0,0,0,1
1000206,2,1,1,41,41,20,83,0,0,0,1
1000206,2,1,1,41,41,20,83,0,0,0.013605118,1
1000206,2,1,1,41,41,20,83,0,0,0.002065659,1
1000206,2,1,1,41,41,20,83,0,0,0.002000809,1
1000207,47,1,1,41,41,20,83,529,1747,0.096311569,1
1000207,47,1,1,41,41,20,83,529,1747,0.049552917,1
1000207,47,1,1,41,41,20,83,529,1747,0.051105499,1
1000207,47,1,1,41,41,20,83,529,1747,0.055259705,1
1000207,47,1,1,41,41,20,83,529,1747,0.062000275,1
1000207,47,1,1,41,41,20,83,529,1747,0.066165924,1
1000207,47,1,1,41,41,20,83,529,1747,0.048347473,1
1000207,47,1,1,41,41,20,83,529,1747,0.059396744,1
1000207,47,1,1,41,41,20,83,529,1747,0.049034119,1
1000207,47,1,1,41,41,20,83,529,1747,0.049621582,1
1000208,2,1,1,41,41,20,83,0,0,0,1
1000208,2,1,1,41,41,20,83,0,0,0,1
1000208,2,1,1,41,41,20,83,0,0,0,1
1000208,2,1,1,41,41,20,83,0,0,0,1
1000208,2,1,1,41,41,20,83,0,0,0,1
1000208,2,1,1,41,41,20,83,0,0,0,1
1000208,2,1,1,41,41,20,83,0,0,0,1
1000208,2,1,1,41,41,20,83,0,0,0.01571846,1
1000208,2,1,1,41,41,20,83,0,0,0.00103569,1
1000208,2,1,1,41,41,20,83,0,0,0,1
1000209,3,1,1,41,41,20,83,0,0,0,1
1000209,3,1,1,41,41,20,83,0,0,0,1
1000209,3,1,1,41,41,20,83,0,0,0,1
1000209,3,1,1,41,41,20,83,0,0,0,1
1000209,3,1,1,41,41,20,83,0,0,0,1
1000209,3,1,1,41,41,20,83,0,0,0,1
1000209,3,1,1,41,41,20,83,0,0,0,1
1000209,3,1,1,41,41,20,83,0,0,0.016799927,1
1000209,3,1,1,41,41,20,83,0,0,0.002719879,1
1000209,3,1,1,41,41,20,83,0,0,0.002035141,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000210,2,1,1,41,41,20,83,0,0,0,1
1000211,19,0,0,41,41,20,83,529,1722,0.085441589,1
1000211,19,0,0,41,41,20,83,529,1722,0.054941177,1
1000211,19,0,0,41,41,20,83,529,1722,0.040683746,1
1000211,19,0,0,41,41,20,83,529,1722,0.050733566,1
1000211,19,0,0,41,41,20,83,529,1722,0.051860809,1
1000211,19,0,0,41,41,20,83,529,1722,0.050117493,1
1000211,19,0,0,41,41,20,83,529,1722,0.051156998,1
1000211,19,0,0,41,41,20,83,529,1722,0.050855637,1
1000211,19,0,0,41,41,20,83,529,1722,0.050487518,1
1000211,19,0,0,41,41,20,83,529,1722,0.052755356,1
1000212,2,1,1,41,41,20,83,0,0,0,1
1000212,2,1,1,41,41,20,83,0,0,0,1
1000212,2,1,1,41,41,20,83,0,0,0,1
1000212,2,1,1,41,41,20,83,0,0,0,1
1000212,2,1,1,41,41,20,83,0,0,0,1
1000212,2,1,1,41,41,20,83,0,0,0.006799698,1
1000212,2,1,1,41,41,20,83,0,0,0.000999451,1
1000212,2,1,1,41,41,20,83,0,0,0.001001358,1
1000212,2,1,1,41,41,20,83,0,0,0,1
1000212,2,1,1,41,41,20,83,0,0,0,1
1000213,19,0,0,41,41,20,83,529,1765,0.049604416,1
1000213,19,0,0,41,41,20,83,529,1765,0.03935051,1
1000213,19,0,0,41,41,20,83,529,1765,0.051324844,1
1000213,19,0,0,41,41,20,83,529,1765,0.046920776,1
1000213,19,0,0,41,41,20,83,529,1765,0.04091835,1
1000213,19,0,0,41,41,20,83,529,1765,0.050977707,1
1000213,19,0,0,41,41,20,83,529,1765,0.051210403,1
1000213,19,0,0,41,41,20,83,529,1765,0.052400589,1
1000213,19,0,0,41,41,20,83,529,1765,0.047472,1
1000213,19,0,0,41,41,20,83,529,1765,0.044425964,1
1000214,2,1,1,41,41,20,83,0,0,0.002065659,1
1000214,2,1,1,41,41,20,83,0,0,0.001031876,1
1000214,2,1,1,41,41,20,83,0,0,0,1
1000214,2,1,1,41,41,20,83,0,0,0,1
1000214,2,1,1,41,41,20,83,0,0,0,1
1000214,2,1,1,41,41,20,83,0,0,0,1
1000214,2,1,1,41,41,20,83,0,0,0,1
1000214,2,1,1,41,41,20,83,0,0,0.007091522,1
1000214,2,1,1,41,41,20,83,0,0,0.002077103,1
1000214,2,1,1,41,41,20,83,0,0,0,1
1000215,3,1,1,41,41,20,83,0,0,0,1
1000215,3,1,1,41,41,20,83,0,0,0,1
1000215,3,1,1,41,41,20,83,0,0,0.008132935,1
1000215,3,1,1,41,41,20,83,0,0,0.001266479,1
1000215,3,1,1,41,41,20,83,0,0,0.002000809,1
1000215,3,1,1,41,41,20,83,0,0,0,1
1000215,3,1,1,41,41,20,83,0,0,0,1
1000215,3,1,1,41,41,20,83,0,0,0,1
1000215,3,1,1,41,41,20,83,0,0,0.007081985,1
1000215,3,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0.011106491,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000216,2,1,1,41,41,20,83,0,0,0,1
1000217,19,1,1,41,41,20,83,539,1766,0.060647964,1
1000217,19,1,1,41,41,20,83,539,1766,0.041158676,1
1000217,19,1,1,41,41,20,83,539,1766,0.041444778,1
1000217,19,1,1,41,41,20,83,539,1766,0.032606125,1
1000217,19,1,1,41,41,20,83,539,1766,0.040552139,1
1000217,19,1,1,41,41,20,83,539,1766,0.039705276,1
1000217,19,1,1,41,41,20,83,539,1766,0.037969589,1
1000217,19,1,1,41,41,20,83,539,1766,0.040403366,1
1000217,19,1,1,41,41,20,83,539,1766,0.038795471,1
1000217,19,1,1,41,41,20,83,539,1766,0.040782928,1
1000218,2,1,1,41,41,20,83,0,0,0,1
1000218,2,1,1,41,41,20,83,0,0,0,1
1000218,2,1,1,41,41,20,83,0,0,0,1
1000218,2,1,1,41,41,20,83,0,0,0.005264282,1
1000218,2,1,1,41,41,20,83,0,0,0.002044678,1
1000218,2,1,1,41,41,20,83,0,0,0,1
1000218,2,1,1,41,41,20,83,0,0,0,1
1000218,2,1,1,41,41,20,83,0,0,0,1
1000218,2,1,1,41,41,20,83,0,0,0,1
1000218,2,1,1,41,41,20,83,0,0,0,1
1000219,79,1,1,41,41,20,83,539,1770,0.04300499,1
1000219,79,1,1,41,41,20,83,539,1770,0.041395187,1
1000219,79,1,1,41,41,20,83,539,1770,0.040748596,1
1000219,79,1,1,41,41,20,83,539,1770,0.047761917,1
1000219,79,1,1,41,41,20,83,539,1770,0.040807724,1
1000219,79,1,1,41,41,20,83,539,1770,0.040653229,1
1000219,79,1,1,41,41,20,83,539,1770,0.042001724,1
1000219,79,1,1,41,41,20,83,539,1770,0.039295197,1
1000219,79,1,1,41,41,20,83,539,1770,0.040800095,1
1000219,79,1,1,41,41,20,83,539,1770,0.040893555,1
1000220,2,1,1,41,41,20,83,0,0,0.002153397,1
1000220,2,1,1,41,41,20,83,0,0,0,1
1000220,2,1,1,41,41,20,83,0,0,0,1
1000220,2,1,1,41,41,20,83,0,0,0,1
1000220,2,1,1,41,41,20,83,0,0,0,1
1000220,2,1,1,41,41,20,83,0,0,0,1
1000220,2,1,1,41,41,20,83,0,0,0,1
1000220,2,1,1,41,41,20,83,0,0,0.008113861,1
1000220,2,1,1,41,41,20,83,0,0,0,1
1000220,2,1,1,41,41,20,83,0,0,0.002138138,1
1000221,3,1,1,41,41,20,83,0,0,0,1
1000221,3,1,1,41,41,20,83,0,0,0,1
1000221,3,1,1,41,41,20,83,0,0,0,1
1000221,3,1,1,41,41,20,83,0,0,0.008138657,1
1000221,3,1,1,41,41,20,83,0,0,0.002138138,1
1000221,3,1,1,41,41,20,83,0,0,0,1
1000221,3,1,1,41,41,20,83,0,0,0,1
1000221,3,1,1,41,41,20,83,0,0,0,1
1000221,3,1,1,41,41,20,83,0,0,0,1
1000221,3,1,1,41,41,20,83,0,0,0.008228302,1
1000222,2,1,1,41,41,20,83,0,0,0.001005173,1
