N,Factor X,Factor Y,Is Correct,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000000,2,500000,1,440,440,440,803,0,0,0.02750206,1
1000000,2,500000,1,440,440,440,803,0,0,0.033935547,1
1000000,2,500000,1,440,440,440,803,0,0,0.042310715,1
1000000,2,500000,1,440,440,440,803,0,0,0.021270752,1
1000000,2,500000,1,440,440,440,803,0,0,0.052581787,1
1000000,2,500000,1,440,440,440,803,0,0,0.034809113,1
1000000,2,500000,1,440,440,440,803,0,0,0.035739899,1
1000000,2,500000,1,440,440,440,803,0,0,0.033605576,1
1000000,2,500000,1,440,440,440,803,0,0,0.03663063,1
1000000,2,500000,1,440,440,440,803,0,0,0.045791626,1
1000001,9901,101,1,440,440,440,803,100,1496,0.32567215,1
1000001,9901,101,1,440,440,440,803,100,1496,0.267114639,1
1000001,9901,101,1,440,440,440,803,100,1496,0.352626801,1
1000001,9901,101,1,440,440,440,803,100,1496,0.215299606,1
1000001,9901,101,1,440,440,440,803,100,1496,0.260280609,1
1000001,9901,101,1,440,440,440,803,100,1496,0.267782211,1
1000001,9901,101,1,440,440,440,803,100,1496,0.224153519,1
1000001,9901,101,1,440,440,440,803,100,1496,0.23204422,1
1000001,9901,101,1,440,440,440,803,100,1496,0.393770218,1
1000001,9901,101,1,440,440,440,803,100,1496,0.268674851,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.583719254,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.646881104,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.745040894,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.644765854,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.68661499,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.691301346,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.722412109,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.753839493,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.670845032,1
1000002,166667,6,1,440,440,440,803,3755,55658,1.729169846,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.969491959,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.795495987,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.852890015,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,9.034864426,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.828355789,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.796833038,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.920804977,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.952163696,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.832910538,1
1000003,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,10724,259927,8.889846802,1
1000004,2,500002,1,440,440,440,803,0,0,0.040071487,1
1000004,2,500002,1,440,440,440,803,0,0,0.04139328,1
1000004,2,500002,1,440,440,440,803,0,0,0.041809082,1
1000004,2,500002,1,440,440,440,803,0,0,0.040882111,1
1000004,2,500002,1,440,440,440,803,0,0,0.038820267,1
1000004,2,500002,1,440,440,440,803,0,0,0.031625748,1
1000004,2,500002,1,440,440,440,803,0,0,0.03329277,1
1000004,2,500002,1,440,440,440,803,0,0,0.040906906,1
1000004,2,500002,1,440,440,440,803,0,0,0.040727615,1
1000004,2,500002,1,440,440,440,803,0,0,0.039194107,1
1000005,3,333335,1,440,440,440,803,0,0,0.028213501,1
1000005,3,333335,1,440,440,440,803,0,0,0.051734924,1
1000005,3,333335,1,440,440,440,803,0,0,0.052213669,1
1000005,3,333335,1,440,440,440,803,0,0,0.054391861,1
1000005,3,333335,1,440,440,440,803,0,0,0.030700684,1
1000005,3,333335,1,440,440,440,803,0,0,0.040735245,1
1000005,3,333335,1,440,440,440,803,0,0,0.031204224,1
1000005,3,333335,1,440,440,440,803,0,0,0.03064537,1
1000005,3,333335,1,440,440,440,803,0,0,0.038835526,1
1000005,3,333335,1,440,440,440,803,0,0,0.033351898,1
1000006,2,500003,1,440,440,440,803,1,310,0.064350128,1
1000006,2,500003,1,440,440,440,803,1,310,0.051755905,1
1000006,2,500003,1,440,440,440,803,1,310,0.062770844,1
1000006,2,500003,1,440,440,440,803,1,310,0.060796738,1
1000006,2,500003,1,440,440,440,803,1,310,0.051986694,1
1000006,2,500003,1,440,440,440,803,1,310,0.062574387,1
1000006,2,500003,1,440,440,440,803,1,310,0.062591553,1
1000006,2,500003,1,440,440,440,803,1,310,0.051862717,1
1000006,2,500003,1,440,440,440,803,1,310,0.062448502,1
1000006,2,500003,1,440,440,440,803,1,310,0.059621811,1
1000007,34483,29,1,440,440,440,803,1,144,0.060455322,1
1000007,34483,29,1,440,440,440,803,1,144,0.070322037,1
1000007,34483,29,1,440,440,440,803,1,144,0.074138641,1
1000007,34483,29,1,440,440,440,803,1,144,0.061616898,1
1000007,34483,29,1,440,440,440,803,1,144,0.064949036,1
1000007,34483,29,1,440,440,440,803,1,144,0.060300827,1
1000007,34483,29,1,440,440,440,803,1,144,0.052503586,1
1000007,34483,29,1,440,440,440,803,1,144,0.06019783,1
1000007,34483,29,1,440,440,440,803,1,144,0.061265945,1
1000007,34483,29,1,440,440,440,803,1,144,0.060342789,1
1000008,2,500004,1,440,440,440,803,0,0,0.032524109,1
1000008,2,500004,1,440,440,440,803,0,0,0.042152405,1
1000008,2,500004,1,440,440,440,803,0,0,0.039764404,1
1000008,2,500004,1,440,440,440,803,0,0,0.040779114,1
1000008,2,500004,1,440,440,440,803,0,0,0.030273438,1
1000008,2,500004,1,440,440,440,803,0,0,0.033599854,1
1000008,2,500004,1,440,440,440,803,0,0,0.039478302,1
1000008,2,500004,1,440,440,440,803,0,0,0.033830643,1
1000008,2,500004,1,440,440,440,803,0,0,0.039886475,1
1000008,2,500004,1,440,440,440,803,0,0,0.041954041,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.403413773,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.323764801,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.366474152,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.404037476,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.293790817,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.342494965,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.358304977,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.340602875,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.253938675,1
1000009,3413,293,1,440,440,440,803,2867,44245,1.394908905,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.320611954,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.317323685,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.297521591,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.329069138,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.222576141,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.229917526,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.123958588,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.043672562,1
1000010,22,45455,1,440,440,440,803,3912,82262,3.078891754,1
1000010,22,45455,1,440,440,440,803,3912,82262,2.999067307,1
1000011,3,333337,1,440,440,440,803,0,0,0.028999329,1
1000011,3,333337,1,440,440,440,803,0,0,0.024999619,1
1000011,3,333337,1,440,440,440,803,0,0,0.028165817,1
1000011,3,333337,1,440,440,440,803,0,0,0.026180267,1
1000011,3,333337,1,440,440,440,803,0,0,0.026073456,1
1000011,3,333337,1,440,440,440,803,0,0,0.031684875,1
1000011,3,333337,1,440,440,440,803,0,0,0.041988373,1
1000011,3,333337,1,440,440,440,803,0,0,0.042140961,1
1000011,3,333337,1,440,440,440,803,0,0,0.033147812,1
1000011,3,333337,1,440,440,440,803,0,0,0.026700974,1
1000012,2,500006,1,440,440,440,803,0,0,0.036342621,1
1000012,2,500006,1,440,440,440,803,0,0,0.041481018,1
1000012,2,500006,1,440,440,440,803,0,0,0.044960022,1
1000012,2,500006,1,440,440,440,803,0,0,0.039045334,1
1000012,2,500006,1,440,440,440,803,0,0,0.040960312,1
1000012,2,500006,1,440,440,440,803,0,0,0.043039322,1
1000012,2,500006,1,440,440,440,803,0,0,0.041996002,1
1000012,2,500006,1,440,440,440,803,0,0,0.039247513,1
1000012,2,500006,1,440,440,440,803,0,0,0.035749435,1
1000012,2,500006,1,440,440,440,803,0,0,0.03604126,1
1000013,142859,7,1,440,440,440,803,0,0,0.035518646,1
1000013,142859,7,1,440,440,440,803,0,0,0.041694641,1
1000013,142859,7,1,440,440,440,803,0,0,0.024246216,1
1000013,142859,7,1,440,440,440,803,0,0,0.023900986,1
1000013,142859,7,1,440,440,440,803,0,0,0.0227108,1
1000013,142859,7,1,440,440,440,803,0,0,0.035966873,1
1000013,142859,7,1,440,440,440,803,0,0,0.034370422,1
1000013,142859,7,1,440,440,440,803,0,0,0.041614532,1
1000013,142859,7,1,440,440,440,803,0,0,0.037664413,1
1000013,142859,7,1,440,440,440,803,0,0,0.036996841,1
1000014,2,500007,1,440,440,440,803,1,318,0.052188873,1
1000014,2,500007,1,440,440,440,803,1,318,0.079742432,1
1000014,2,500007,1,440,440,440,803,1,318,0.059751511,1
1000014,2,500007,1,440,440,440,803,1,318,0.045196533,1
1000014,2,500007,1,440,440,440,803,1,318,0.052736282,1
1000014,2,500007,1,440,440,440,803,1,318,0.048196793,1
1000014,2,500007,1,440,440,440,803,1,318,0.064403534,1
1000014,2,500007,1,440,440,440,803,1,318,0.05124855,1
1000014,2,500007,1,440,440,440,803,1,318,0.044179916,1
1000014,2,500007,1,440,440,440,803,1,318,0.044988632,1
1000015,200003,5,1,440,440,440,803,0,0,0.039859772,1
1000015,200003,5,1,440,440,440,803,0,0,0.036558151,1
1000015,200003,5,1,440,440,440,803,0,0,0.036441803,1
1000015,200003,5,1,440,440,440,803,0,0,0.042905808,1
1000015,200003,5,1,440,440,440,803,0,0,0.02850914,1
1000015,200003,5,1,440,440,440,803,0,0,0.048343658,1
1000015,200003,5,1,440,440,440,803,0,0,0.033611298,1
1000015,200003,5,1,440,440,440,803,0,0,0.03502655,1
1000015,200003,5,1,440,440,440,803,0,0,0.051773071,1
1000015,200003,5,1,440,440,440,803,0,0,0.033109665,1
1000016,2,500008,1,440,440,440,803,0,0,0.037731171,1
1000016,2,500008,1,440,440,440,803,0,0,0.03751564,1
1000016,2,500008,1,440,440,440,803,0,0,0.050390244,1
1000016,2,500008,1,440,440,440,803,0,0,0.032215118,1
1000016,2,500008,1,440,440,440,803,0,0,0.033042908,1
1000016,2,500008,1,440,440,440,803,0,0,0.030292511,1
1000016,2,500008,1,440,440,440,803,0,0,0.031209946,1
1000016,2,500008,1,440,440,440,803,0,0,0.030380249,1
1000016,2,500008,1,440,440,440,803,0,0,0.027978897,1
1000016,2,500008,1,440,440,440,803,0,0,0.034608841,1
1000017,3,333339,1,440,440,440,803,0,0,0.030611038,1
1000017,3,333339,1,440,440,440,803,0,0,0.033138275,1
1000017,3,333339,1,440,440,440,803,0,0,0.030653,1
1000017,3,333339,1,440,440,440,803,0,0,0.038677216,1
1000017,3,333339,1,440,440,440,803,0,0,0.033790588,1
1000017,3,333339,1,440,440,440,803,0,0,0.032672882,1
1000017,3,333339,1,440,440,440,803,0,0,0.030517578,1
1000017,3,333339,1,440,440,440,803,0,0,0.039979935,1
1000017,3,333339,1,440,440,440,803,0,0,0.032123566,1
1000017,3,333339,1,440,440,440,803,0,0,0.030666351,1
1000018,2,500009,1,440,440,440,803,1,1032,0.20479393,1
1000018,2,500009,1,440,440,440,803,1,1032,0.214160919,1
1000018,2,500009,1,440,440,440,803,1,1032,0.232868195,1
1000018,2,500009,1,440,440,440,803,1,1032,0.210027695,1
1000018,2,500009,1,440,440,440,803,1,1032,0.219976425,1
1000018,2,500009,1,440,440,440,803,1,1032,0.215656281,1
1000018,2,500009,1,440,440,440,803,1,1032,0.226285934,1
1000018,2,500009,1,440,440,440,803,1,1032,0.223081589,1
1000018,2,500009,1,440,440,440,803,1,1032,0.218904495,1
1000018,2,500009,1,440,440,440,803,1,1032,0.224405289,1
1000019,21277,47,1,440,440,440,803,4938,76177,2.454015732,1
1000019,21277,47,1,440,440,440,803,4938,76177,2.430267334,1
1000019,21277,47,1,440,440,440,803,4938,76177,2.40246582,1
1000019,21277,47,1,440,440,440,803,4938,76177,2.284749985,1
1000019,21277,47,1,440,440,440,803,4938,76177,2.532924652,1
1000019,21277,47,1,440,440,440,803,4938,76177,2.30421257,1
1000019,21277,47,1,440,440,440,803,4938,76177,2.417331696,1
1000019,21277,47,1,440,440,440,803,4938,76177,2.490194321,1
1000019,21277,47,1,440,440,440,803,4938,76177,1.567874908,1
1000019,21277,47,1,440,440,440,803,4938,76177,1.398633957,1
1000020,2,500010,1,440,440,440,803,0,0,0.018817902,1
1000020,2,500010,1,440,440,440,803,0,0,0.018205643,1
1000020,2,500010,1,440,440,440,803,0,0,0.013174057,1
1000020,2,500010,1,440,440,440,803,0,0,0.020116806,1
1000020,2,500010,1,440,440,440,803,0,0,0.021608353,1
1000020,2,500010,1,440,440,440,803,0,0,0.018535614,1
1000020,2,500010,1,440,440,440,803,0,0,0.020650864,1
1000020,2,500010,1,440,440,440,803,0,0,0.020486832,1
1000020,2,500010,1,440,440,440,803,0,0,0.018209457,1
1000020,2,500010,1,440,440,440,803,0,0,0.0182724,1
1000021,11,90911,1,440,440,440,803,9264,142866,3.940036774,1
1000021,11,90911,1,440,440,440,803,9264,142866,3.793193817,1
1000021,11,90911,1,440,440,440,803,9264,142866,5.02135849,1
1000021,11,90911,1,440,440,440,803,9264,142866,5.467451096,1
1000021,11,90911,1,440,440,440,803,9264,142866,5.194232941,1
1000021,11,90911,1,440,440,440,803,9264,142866,5.100282669,1
1000021,11,90911,1,440,440,440,803,9264,142866,5.226158142,1
1000021,11,90911,1,440,440,440,803,9264,142866,4.916282654,1
1000021,11,90911,1,440,440,440,803,9264,142866,5.094955444,1
1000021,11,90911,1,440,440,440,803,9264,142866,4.600114822,1
1000022,2,500011,1,440,440,440,803,1,275,0.035503387,1
1000022,2,500011,1,440,440,440,803,1,275,0.033838272,1
1000022,2,500011,1,440,440,440,803,1,275,0.02989769,1
1000022,2,500011,1,440,440,440,803,1,275,0.028013229,1
1000022,2,500011,1,440,440,440,803,1,275,0.027957916,1
1000022,2,500011,1,440,440,440,803,1,275,0.023588181,1
1000022,2,500011,1,440,440,440,803,1,275,0.029281616,1
1000022,2,500011,1,440,440,440,803,1,275,0.029628754,1
1000022,2,500011,1,440,440,440,803,1,275,0.022439957,1
1000022,2,500011,1,440,440,440,803,1,275,0.029708862,1
1000023,3,333341,1,440,440,440,803,0,0,0.019266129,1
1000023,3,333341,1,440,440,440,803,0,0,0.010299683,1
1000023,3,333341,1,440,440,440,803,0,0,0.020318985,1
1000023,3,333341,1,440,440,440,803,0,0,0.018377304,1
1000023,3,333341,1,440,440,440,803,0,0,0.012226105,1
1000023,3,333341,1,440,440,440,803,0,0,0.018224716,1
1000023,3,333341,1,440,440,440,803,0,0,0.016269684,1
1000023,3,333341,1,440,440,440,803,0,0,0.015350342,1
1000023,3,333341,1,440,440,440,803,0,0,0.011226654,1
1000023,3,333341,1,440,440,440,803,0,0,0.021566391,1
1000024,2,500012,1,440,440,440,803,0,0,0.012111664,1
1000024,2,500012,1,440,440,440,803,0,0,0.021490097,1
1000024,2,500012,1,440,440,440,803,0,0,0.020309448,1
1000024,2,500012,1,440,440,440,803,0,0,0.020399094,1
1000024,2,500012,1,440,440,440,803,0,0,0.018468857,1
1000024,2,500012,1,440,440,440,803,0,0,0.017663956,1
1000024,2,500012,1,440,440,440,803,0,0,0.012664795,1
1000024,2,500012,1,440,440,440,803,0,0,0.025400162,1
1000024,2,500012,1,440,440,440,803,0,0,0.014320374,1
1000024,2,500012,1,440,440,440,803,0,0,0.020488739,1
1000025,200005,5,1,440,440,440,803,0,0,0.01836586,1
1000025,200005,5,1,440,440,440,803,0,0,0.010278702,1
1000025,200005,5,1,440,440,440,803,0,0,0.018373489,1
1000025,200005,5,1,440,440,440,803,0,0,0.013431549,1
1000025,200005,5,1,440,440,440,803,0,0,0.017332077,1
1000025,200005,5,1,440,440,440,803,0,0,0.012237549,1
1000025,200005,5,1,440,440,440,803,0,0,0.022069931,1
1000025,200005,5,1,440,440,440,803,0,0,0.01909256,1
1000025,200005,5,1,440,440,440,803,0,0,0.020305634,1
1000025,200005,5,1,440,440,440,803,0,0,0.018253326,1
1000026,37038,27,1,440,440,440,803,0,0,0.009111404,1
1000026,37038,27,1,440,440,440,803,0,0,0.018199921,1
1000026,37038,27,1,440,440,440,803,0,0,0.012105942,1
1000026,37038,27,1,440,440,440,803,0,0,0.018157959,1
1000026,37038,27,1,440,440,440,803,0,0,0.013313293,1
1000026,37038,27,1,440,440,440,803,0,0,0.009080887,1
1000026,37038,27,1,440,440,440,803,0,0,0.020320892,1
1000026,37038,27,1,440,440,440,803,0,0,0.020374298,1
1000026,37038,27,1,440,440,440,803,0,0,0.01102066,1
1000026,37038,27,1,440,440,440,803,0,0,0.018138886,1
1000027,9709,103,1,440,440,440,803,455,4312,0.152297974,1
1000027,9709,103,1,440,440,440,803,455,4312,0.133991242,1
1000027,9709,103,1,440,440,440,803,455,4312,0.146270752,1
1000027,9709,103,1,440,440,440,803,455,4312,0.141899109,1
1000027,9709,103,1,440,440,440,803,455,4312,0.14531517,1
1000027,9709,103,1,440,440,440,803,455,4312,0.177310944,1
1000027,9709,103,1,440,440,440,803,455,4312,0.153757095,1
1000027,9709,103,1,440,440,440,803,455,4312,0.151210785,1
1000027,9709,103,1,440,440,440,803,455,4312,0.272861481,1
1000027,9709,103,1,440,440,440,803,455,4312,0.324895859,1
1000028,2,500014,1,440,440,440,803,0,0,0.040687561,1
1000028,2,500014,1,440,440,440,803,0,0,0.061502457,1
1000028,2,500014,1,440,440,440,803,0,0,0.06139946,1
1000028,2,500014,1,440,440,440,803,0,0,0.040977478,1
1000028,2,500014,1,440,440,440,803,0,0,0.038814545,1
1000028,2,500014,1,440,440,440,803,0,0,0.053712845,1
1000028,2,500014,1,440,440,440,803,0,0,0.04145813,1
1000028,2,500014,1,440,440,440,803,0,0,0.058656693,1
1000028,2,500014,1,440,440,440,803,0,0,0.030498505,1
1000028,2,500014,1,440,440,440,803,0,0,0.043420792,1
1000029,3,333343,1,440,440,440,803,0,0,0.058984756,1
1000029,3,333343,1,440,440,440,803,0,0,0.034162521,1
1000029,3,333343,1,440,440,440,803,0,0,0.049940109,1
1000029,3,333343,1,440,440,440,803,0,0,0.03899765,1
1000029,3,333343,1,440,440,440,803,0,0,0.022409439,1
1000029,3,333343,1,440,440,440,803,0,0,0.039325714,1
1000029,3,333343,1,440,440,440,803,0,0,0.052921295,1
